Iteration    0 	Loss PDE = 1.536264224710 	Lyap = -3.85e-01
Iteration   50 	Loss PDE = 0.287367600376 	Lyap = -6.37e-01
Iteration  100 	Loss PDE = 0.102884436693 	Lyap = -4.72e-03
Iteration  150 	Loss PDE = 0.055835106803 	Lyap = -2.66e-02
Iteration  200 	Loss PDE = 0.052295480102 	Lyap = -2.33e-02
Iteration  250 	Loss PDE = 0.043823318862 	Lyap = -1.81e-02
Iteration  300 	Loss PDE = 0.029153591820 	Lyap = -1.06e-02
Iteration  350 	Loss PDE = 0.013534620049 	Lyap = -4.34e-03
Iteration  400 	Loss PDE = 0.004352672391 	Lyap = -1.29e-03
Iteration  450 	Loss PDE = 0.001055778945 	Lyap = -2.96e-04
Iteration  500 	Loss PDE = 0.000237328569 	Lyap = -5.70e-05
Iteration  550 	Loss PDE = 0.000081773590 	Lyap = -1.32e-05
Iteration  600 	Loss PDE = 0.000054727859 	Lyap = -6.39e-06
Iteration  650 	Loss PDE = 0.000047396191 	Lyap = -5.12e-06
Iteration  700 	Loss PDE = 0.000042800712 	Lyap = -4.52e-06
Iteration  750 	Loss PDE = 0.000038781451 	Lyap = -4.02e-06
Iteration  800 	Loss PDE = 0.000035092627 	Lyap = -3.56e-06
Iteration  850 	Loss PDE = 0.000031695787 	Lyap = -3.14e-06
Iteration  900 	Loss PDE = 0.000028573191 	Lyap = -2.76e-06
Iteration  950 	Loss PDE = 0.000025709694 	Lyap = -2.42e-06
Iteration 1000 	Loss PDE = 0.000023090751 	Lyap = -2.12e-06
Iteration 1050 	Loss PDE = 0.000020821333 	Lyap = -2.06e-06
Iteration 1100 	Loss PDE = 0.000018826083 	Lyap = -1.86e-06
Iteration 1150 	Loss PDE = 0.000016995162 	Lyap = -1.67e-06
Iteration 1200 	Loss PDE = 0.000015318424 	Lyap = -1.49e-06
Iteration 1250 	Loss PDE = 0.000013786526 	Lyap = -1.32e-06
Iteration 1300 	Loss PDE = 0.000012390312 	Lyap = -1.17e-06
Iteration 1350 	Loss PDE = 0.000011120763 	Lyap = -1.02e-06
Iteration 1400 	Loss PDE = 0.000009969024 	Lyap = -8.82e-07
Iteration 1450 	Loss PDE = 0.000008926450 	Lyap = -7.57e-07
Iteration 1500 	Loss PDE = 0.000007984668 	Lyap = -6.43e-07
Iteration 1550 	Loss PDE = 0.000007135624 	Lyap = -5.39e-07
Iteration 1600 	Loss PDE = 0.000006371627 	Lyap = -4.45e-07
Iteration 1650 	Loss PDE = 0.000005685389 	Lyap = -3.60e-07
Iteration 1700 	Loss PDE = 0.000005070044 	Lyap = -2.83e-07
Iteration 1750 	Loss PDE = 0.000004519159 	Lyap = -2.14e-07
Iteration 1800 	Loss PDE = 0.000004026741 	Lyap = -1.51e-07
Iteration 1850 	Loss PDE = 0.000003587232 	Lyap = -9.55e-08
Iteration 1900 	Loss PDE = 0.000003195498 	Lyap = -4.54e-08
Iteration 1950 	Loss PDE = 0.000002846813 	Lyap = -5.06e-10
Iteration    0 	Loss PDE = 6.112344565916 	Lyap = -3.52e-01
Iteration   50 	Loss PDE = 0.336670214725 	Lyap = -9.52e-01
Iteration  100 	Loss PDE = 0.132568005944 	Lyap = -9.77e-01
Iteration  150 	Loss PDE = 0.047593183709 	Lyap = -9.16e-01
Iteration  200 	Loss PDE = 0.066555911862 	Lyap = -1.09e-01
Iteration  250 	Loss PDE = 0.058866019717 	Lyap = -3.05e-02
Iteration  300 	Loss PDE = 0.060442105192 	Lyap = -2.85e-02
Iteration  350 	Loss PDE = 0.060200480270 	Lyap = -2.86e-02
Iteration  400 	Loss PDE = 0.060126527484 	Lyap = -2.85e-02
Iteration  450 	Loss PDE = 0.060069038073 	Lyap = -2.85e-02
Iteration  500 	Loss PDE = 0.060018885956 	Lyap = -2.85e-02
Iteration  550 	Loss PDE = 0.059972566223 	Lyap = -2.84e-02
Iteration  600 	Loss PDE = 0.059928623221 	Lyap = -2.84e-02
Iteration  650 	Loss PDE = 0.059886094042 	Lyap = -2.84e-02
Iteration  700 	Loss PDE = 0.059844332881 	Lyap = -2.84e-02
Iteration  750 	Loss PDE = 0.059802924257 	Lyap = -2.84e-02
Iteration  800 	Loss PDE = 0.059761614196 	Lyap = -2.83e-02
Iteration  850 	Loss PDE = 0.059720258052 	Lyap = -2.83e-02
Iteration  900 	Loss PDE = 0.059678782409 	Lyap = -2.83e-02
Iteration  950 	Loss PDE = 0.059637158574 	Lyap = -2.83e-02
Iteration 1000 	Loss PDE = 0.059595385391 	Lyap = -2.83e-02
Iteration 1050 	Loss PDE = 0.000518071067 	Lyap = -2.98e-01
Iteration 1100 	Loss PDE = 0.000323681160 	Lyap = -2.80e-01
Iteration 1150 	Loss PDE = 0.000275567876 	Lyap = -2.76e-01
Iteration 1200 	Loss PDE = 0.000240624139 	Lyap = -2.76e-01
Iteration 1250 	Loss PDE = 0.000212593736 	Lyap = -2.76e-01
Iteration 1300 	Loss PDE = 0.000189695978 	Lyap = -2.76e-01
Iteration 1350 	Loss PDE = 0.000170654254 	Lyap = -2.76e-01
Iteration 1400 	Loss PDE = 0.000154546255 	Lyap = -2.76e-01
Iteration 1450 	Loss PDE = 0.000140701345 	Lyap = -2.76e-01
Iteration 1500 	Loss PDE = 0.000128628961 	Lyap = -2.76e-01
Iteration 1550 	Loss PDE = 0.000117968097 	Lyap = -2.76e-01
Iteration 1600 	Loss PDE = 0.000108451331 	Lyap = -2.76e-01
Iteration 1650 	Loss PDE = 0.000099879063 	Lyap = -2.76e-01
Iteration 1700 	Loss PDE = 0.000092100954 	Lyap = -2.76e-01
Iteration 1750 	Loss PDE = 0.000085002517 	Lyap = -2.76e-01
Iteration 1800 	Loss PDE = 0.000078495411 	Lyap = -2.76e-01
Iteration 1850 	Loss PDE = 0.000072510396 	Lyap = -2.76e-01
Iteration 1900 	Loss PDE = 0.000066992224 	Lyap = -2.76e-01
Iteration 1950 	Loss PDE = 0.000061895935 	Lyap = -2.76e-01
Iteration    0 	Loss PDE = 0.000057118312 	Lyap = -7.24e-01
